emitted_uses_per_second,observed_mode_uses_per_second,detected_uses_per_second,classical_bits_per_second,erasure_quantum_qubits_per_second,conditional_state_fidelity,effective_transmissivity,redshift
1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1.0,1.0,0.0
1000000.0,1000000.0,500000.0,500000.0,0.0,1.0,0.5,0.0
1000000.0,1000000.0,100000.0,100000.0,0.0,1.0,0.1,0.0
1000000.0,1000000.0,1000.0,1000.0,0.0,1.0,0.001,0.0
1000000.0,909090.9090909091,909090.9090909091,909090.9090909091,909090.9090909091,1.0,1.0,0.1
1000000.0,909090.9090909091,454545.45454545453,454545.45454545453,0.0,1.0,0.5,0.1
1000000.0,909090.9090909091,90909.09090909091,90909.09090909091,0.0,1.0,0.1,0.1
1000000.0,909090.9090909091,909.0909090909091,909.0909090909091,0.0,1.0,0.001,0.1
1000000.0,500000.0,500000.0,500000.0,500000.0,1.0,1.0,1.0
1000000.0,500000.0,250000.0,250000.0,0.0,1.0,0.5,1.0
1000000.0,500000.0,50000.0,50000.0,0.0,1.0,0.1,1.0
1000000.0,500000.0,500.0,500.0,0.0,1.0,0.001,1.0
1000000.0,250000.0,250000.0,250000.0,250000.0,1.0,1.0,3.0
1000000.0,250000.0,125000.0,125000.0,0.0,1.0,0.5,3.0
1000000.0,250000.0,25000.0,25000.0,0.0,1.0,0.1,3.0
1000000.0,250000.0,250.0,250.0,0.0,1.0,0.001,3.0
1000000.0,90909.09090909091,90909.09090909091,90909.09090909091,90909.09090909091,1.0,1.0,10.0
1000000.0,90909.09090909091,45454.545454545456,45454.545454545456,0.0,1.0,0.5,10.0
1000000.0,90909.09090909091,9090.909090909092,9090.909090909092,0.0,1.0,0.1,10.0
1000000.0,90909.09090909091,90.90909090909092,90.90909090909092,0.0,1.0,0.001,10.0
